Destination Airport,Lat,Long,name
AAF,29.73,-85.03,Apalachicola Regional Airport
ABE,40.65,-75.44,Lehigh Valley International Airport
ABI,32.41,-99.68,Abilene Regional Airport
ABQ,35.04,-106.61,Albuquerque International Sunport
ABR,45.45,-98.42,Aberdeen Regional Airport
ABY,31.54,-84.19,Southwest Georgia Regional Airport
ACB,44.99,-85.20,Antrim County Airport
ACK,41.25,-70.06,Nantucket Memorial Airport
ACT,31.61,-97.23,Waco Regional Airport
ACV,40.98,-124.11,California Redwood Coast-Humboldt County Airport
ACY,39.46,-74.58,Atlantic City International Airport
ADG,41.87,-84.08,Lenawee County Airport
ADT,34.80,-96.67,Ada Regional Airport
ADM,34.30,-97.02,Ardmore Municipal Airport
ADS,32.97,-96.84,Addison Airport
ADW,38.81,-76.87,Joint Base Andrews
KAE,56.97,-133.95,Kake Seaplane Base
AEL,43.68,-93.37,Albert Lea Municipal Airport
AEX,31.33,-92.55,Alexandria International Airport
AFF,38.97,-104.81,USAF Academy Airfield
WSG,40.14,-80.29,Washington County Airport
AFN,42.81,-72.00,Jaffrey Airport Silver Ranch Airport
AFO,42.71,-110.94,Afton Municipal Airport
AFW,32.99,-97.32,Fort Worth Alliance Airport
AGC,40.35,-79.93,Allegheny County Airport
AGO,33.23,-93.22,Ralph C Weiser Field
AGS,33.37,-81.96,Augusta Regional At Bush Field
AHC,40.27,-120.15,Amedee Army Air Field
AHH,45.28,-92.38,Amery Municipal Airport
AHN,33.95,-83.33,Athens Ben Epps Airport
AIA,42.05,-102.80,Alliance Municipal Airport
AID,40.11,-85.61,Anderson Municipal Darlington Field
AIK,33.65,-81.68,Aiken Regional Airport
AIO,41.41,-95.05,Atlantic Municipal Airport
AIV,33.11,-88.20,George Downer Airport
AIY,39.36,-74.46,Atlantic City Municipal Bader Field
AIZ,38.10,-92.55,Lee C Fine Memorial Airport
AKO,40.18,-103.22,Colorado Plains Regional Airport
AKC,41.04,-81.47,Akron Fulton International Airport
ALB,42.75,-73.80,Albany International Airport
ALI,27.74,-98.03,Alice International Airport
ALM,32.84,-105.99,Alamogordo White Sands Regional Airport
ALN,38.89,-90.05,St Louis Regional Airport
ALO,42.56,-92.40,Waterloo Regional Airport
ALS,37.43,-105.87,San Luis Valley Regional Bergman Field
ALW,46.09,-118.29,Walla Walla Regional Airport
ALX,32.91,-85.96,Thomas C Russell Field
AMA,35.22,-101.71,Rick Husband Amarillo International Airport
AMN,43.32,-84.69,Gratiot Community Airport
AMW,41.99,-93.62,Ames Municipal Airport
ANB,33.59,-85.86,Anniston Regional Airport
AND,34.49,-82.71,Anderson Regional Airport
SLT,38.54,-106.05,Salida Airport Harriett Alexander Field
ANP,38.94,-76.57,Lee Airport
ANQ,41.64,-85.08,Tri State Steuben County Airport
ANW,42.58,-99.99,Ainsworth Regional Airport
ANY,37.16,-98.08,Anthony Municipal Airport
AOH,40.71,-84.03,Lima Allen County Airport
AOO,40.30,-78.32,Altoona Blair County Airport
APA,39.57,-104.85,Centennial Airport
APC,38.21,-122.28,Napa County Airport
APF,26.15,-81.78,Naples Municipal Airport
APG,39.47,-76.17,Phillips Army Air Field
APH,38.07,-77.32,A P Hill AAF (Fort A P Hill) Airport
APN,45.08,-83.56,Alpena County Regional Airport
APT,35.06,-85.59,Marion County Brown Field
APV,34.58,-117.19,Apple Valley Airport
ARA,30.04,-91.88,Acadiana Regional Airport
ARB,42.22,-83.75,Ann Arbor Municipal Airport
ARG,36.12,-90.93,Walnut Ridge Regional Airport
WHT,29.25,-96.15,Wharton Regional Airport
AUZ,41.77,-88.48,Aurora Municipal Airport
ART,43.99,-76.02,Watertown International Airport
ARV,45.93,-89.73,Lakeland-Noble F. Lee Memorial field
BFT,32.41,-80.63,Beaufort County Airport
ASE,39.22,-106.87,Aspen-Pitkin Co/Sardy Field
SPZ,36.18,-94.12,Springdale Municipal Airport
ASH,42.78,-71.51,Boire Field
ASL,32.52,-94.31,Harrison County Airport
ASN,33.57,-86.05,Talladega Municipal Airport
AST,46.16,-123.88,Astoria Regional Airport
ASX,46.55,-90.92,John F Kennedy Memorial Airport
ASY,46.02,-99.35,Ashley Municipal Airport
ATL,33.64,-84.43,Hartsfield Jackson Atlanta International Airport
ATS,32.85,-104.47,Artesia Municipal Airport
ATW,44.26,-88.52,Appleton International Airport
ATY,44.91,-97.15,Watertown Regional Airport
AUG,44.32,-69.80,Augusta State Airport
AUM,43.67,-92.93,Austin Municipal Airport
AUN,38.95,-121.08,Auburn Municipal Airport
AUO,32.62,-85.43,Auburn University Regional Airport
AUS,30.19,-97.67,Austin Bergstrom International Airport
AUW,44.93,-89.63,Wausau Downtown Airport
AVL,35.44,-82.54,Asheville Regional Airport
AVO,27.59,-81.53,Avon Park Executive Airport
AVP,41.34,-75.72,Wilkes Barre Scranton International Airport
AVW,32.41,-111.22,Marana Regional Airport
AVX,33.40,-118.42,Catalina Airport
AWM,35.14,-90.23,West Memphis Municipal Airport
AXG,43.08,-94.27,Algona Municipal Airport
AXN,45.87,-95.39,Chandler Field
AXS,34.70,-99.34,Altus Quartz Mountain Regional Airport
AXV,40.49,-84.30,Neil Armstrong Airport
AXX,36.42,-105.29,Angel Fire Airport
AYE,42.57,-71.60,Ft Devens Moore Army Air Field
AYS,31.25,-82.40,Waycross Ware County Airport
TUH,35.39,-86.09,Arnold Air Force Base
AZO,42.23,-85.55,Kalamazoo Battle Creek International Airport
BAB,39.14,-121.44,Beale Air Force Base
BAD,32.50,-93.66,Barksdale Air Force Base
BAF,42.16,-72.72,Westfield-Barnes Regional Airport
CLU,39.26,-85.90,Columbus Municipal Airport
BAM,40.60,-116.87,Battle Mountain Airport
BBB,45.33,-95.65,Benson Municipal Airport
BBD,31.18,-99.32,Curtis Field
BTN,34.62,-79.73,Marlboro County Jetport H.E. Avent Field
BBW,41.44,-99.64,Broken Bow Municipal Airport
BCB,37.21,-80.41,Virginia Tech Montgomery Executive Airport
BCE,37.71,-112.14,Bryce Canyon Airport
BCT,26.38,-80.11,Boca Raton Airport
BDE,48.73,-94.61,Baudette International Airport
BDG,37.58,-109.48,Blanding Municipal Airport
BDL,41.94,-72.68,Bradley International Airport
BDR,41.16,-73.13,Igor I Sikorsky Memorial Airport
WBU,40.04,-105.23,Boulder Municipal Airport
KBE,55.93,-131.57,Bell Island Hot Springs Seaplane Base
BEC,37.69,-97.21,Beech Factory Airport
BED,42.47,-71.29,Laurence G Hanscom Field
BEH,42.13,-86.43,Southwest Michigan Regional Airport
BFD,41.80,-78.64,Bradford Regional Airport
BFF,41.87,-103.60,Western Neb. Rgnl/William B. Heilig Airport
BFI,47.53,-122.30,Boeing Field King County International Airport
BFL,35.43,-119.06,Meadows Field
BFM,30.63,-88.07,Mobile Downtown Airport
BFR,38.84,-86.45,Virgil I Grissom Municipal Airport
BGD,35.70,-101.39,Hutchinson County Airport
BGE,30.97,-84.64,Decatur County Industrial Air Park
BGM,42.21,-75.98,Greater Binghamton/Edwin A Link field
BGR,44.81,-68.83,Bangor International Airport
BHB,44.45,-68.36,Hancock County-Bar Harbor Airport
BHM,33.56,-86.75,Birmingham-Shuttlesworth International Airport
BID,41.17,-71.58,Block Island State Airport
BIE,40.30,-96.75,Beatrice Municipal Airport
BIF,31.85,-106.38,Biggs Army Air Field (Fort Bliss)
BIH,37.37,-118.36,Eastern Sierra Regional Airport
BIL,45.81,-108.54,Billings Logan International Airport
BIS,46.77,-100.75,Bismarck Municipal Airport
BIX,30.41,-88.92,Keesler Air Force Base
BJC,39.91,-105.12,Rocky Mountain Metropolitan Airport
BJI,47.51,-94.93,Bemidji Regional Airport
BJJ,40.87,-81.89,Wayne County Airport
BKD,32.72,-98.89,Stephens County Airport
BKE,44.84,-117.81,Baker City Municipal Airport
BFK,39.70,-104.75,Buckley Air Force Base
BKL,41.52,-81.68,Burke Lakefront Airport
BKT,37.07,-77.96,Allen C Perkinson Blackstone Army Air Field
BKW,37.79,-81.12,Raleigh County Memorial Airport
BKX,44.30,-96.82,Brookings Regional Airport
BLF,37.30,-81.21,Mercer County Airport
BLH,33.62,-114.72,Blythe Airport
BLI,48.79,-122.54,Bellingham International Airport
BLM,40.19,-74.12,Monmouth Executive Airport
BLU,39.28,-120.71,Blue Canyon Nyack Airport
BLV,38.55,-89.84,Scott AFB/Midamerica Airport
BMC,41.55,-112.06,Brigham City Regional Airport
BMG,39.15,-86.62,Monroe County Airport
BMI,40.48,-88.92,Central Illinois Regional Airport at Bloomington-Normal
BML,44.58,-71.18,Berlin Regional Airport
BMT,30.07,-94.22,Beaumont Municipal Airport
BNA,36.12,-86.68,Nashville International Airport
BNG,33.92,-116.85,Banning Municipal Airport
BNL,33.26,-81.39,Barnwell Regional Airport
BNO,43.59,-118.96,Burns Municipal Airport
